ID,Physical interaction
YDR239C,17.0
YDR240C,25.0
YDR241W,
YDR242W,11.0
YDR243C,11.0
YDR244W,65.0
YDR245W,303.0
YDR246W,14.0
YDR246W-A,1.0
YDR247W,39.0
YDR248C,55.0
YDR249C,15.0
YDR250C,
YDR251W,28.0
YDR252W,22.0
YDR253C,31.0
YDR254W,88.0
YDR255C,27.0
YDR256C,26.0
YDR257C,28.0
YDR258C,48.0
YDR259C,49.0
YDR260C,64.0
YDR261C,11.0
YDR261C-C,
YDR261C-D,
YDR261W-A,
YDR261W-B,
YDR262W,2.0
YDR263C,12.0
YDR264C,31.0
YDR265W,55.0
YDR266C,36.0
YDR267C,8.0
YDR268W,2.0
YDR269C,
YDR270W,25.0
YDR271C,
YDR272W,14.0
YDR273W,20.0
YDR274C,
YDR275W,4.0
YDR276C,116.0
YDR277C,46.0
YDR278C,
YDR279W,31.0
YDR280W,20.0
YDR281C,13.0
YDR282C,2.0
YDR283C,48.0
YDR284C,22.0
YDR285W,26.0
YDR286C,10.0
YDR287W,12.0
YDR288W,10.0
YDR289C,220.0
YDR290W,
YDR291W,10.0
YDR292C,13.0
YDR293C,320.0
YDR294C,32.0
YDR295C,140.0
YDR296W,24.0
YDR297W,117.0
YDR298C,72.0
YDR299W,42.0
YDR300C,22.0
YDR301W,32.0
YDR302W,13.0
YDR303C,45.0
YDR304C,34.0
