Gene	HL_IB	HL_MS	PP
YCR024C	27.0	570.2	0.9425
YCR024C-A	NA	NA	0.8661
YCR024C-B	NA	NA	NA
YCR025C	NA	NA	0.8252
YCR026C	11.0	250.2	0.8916
YCR027C	34.0	591.5	1.062
YCR028C	NA	NA	0.7226
YCR028C-A	NA	544.4	0.8562
YCR030C	NA	655.4	NA
YCR031C	40.0	NA	0.9049
YCR032W	NA	NA	0.4148
YCR033W	NA	NA	1.087
YCR034W	NA	2042.6	1.208
YCR035C	98.0	587.5	NA
YCR036W	61.0	482.4	0.9473
YCR037C	10.0	NA	0.9694
YCR038C	122.0	NA	NA
YCR038W-A	NA	NA	NA
YCR039C	107.0	NA	NA
YCR040W	NA	NA	NA
YCR041W	NA	NA	NA
YCR042C	136.0	298.9	NA
YCR043C	27.0	563.6	0.4886
YCR044C	NA	NA	0.7984
YCR045C	NA	NA	1.1
YCR045W-A	NA	NA	NA
YCR046C	234.0	396.4	0.5446
YCR047C	44.0	403.0	1.022
YCR047W-A	NA	NA	NA
YCR048W	36.0	NA	0.6279
YCR049C	NA	NA	0.6483
YCR050C	NA	NA	0.8146
YCR051W	NA	587.2	0.6141
YCR052W	34.0	566.4	NA
YCR053W	148.0	617.0	0.9958
YCR054C	87.0	289.0	NA
YCR057C	NA	591.0	NA
YCR059C	42.0	NA	0.4501
YCR060W	47.0	NA	0.4488
YCR061W	NA	NA	NA
YCR063W	26.0	NA	0.9134
YCR064C	NA	NA	NA
YCR065W	15.0	NA	0.721
YCR066W	22.0	384.9	1.659
YCR067C	62.0	NA	0.5447
YCR068W	12.0	NA	0.2355
YCR069W	41.0	59.8	NA
YCR071C	190.0	326.1	0.9069
YCR072C	NA	492.3	NA
YCR073C	NA	NA	0.4809
YCR073W-A	45.0	506.3	NA
YCR075C	7.0	410.3	0.496
YCR075W-A	NA	NA	NA
YCR076C	NA	548.1	0.5687
YCR077C	15.0	557.7	1.218
YCR079W	67.0	1183.0	0.9438
YCR081C-A	NA	NA	NA
YCR081W	41.0	NA	NA
YCR082W	21.0	56.1	0.5629
YCR083W	175.0	413.9	0.5596
YCR084C	27.0	516.8	1.149
