Gene	HL_IB	HL_MS	PP	HL_IB_quantile	HL_IB_pt	HL_MS_quantile	HL_MS_pt
YDR142C	174.0	NA	0.7449	1.28601871067895	1.1532173602913447	NA	NA
YDR143C	7.0	199.2	0.3447	-1.5175450472144199	-1.4985177290224745	-1.4185950972844033	-1.3081536038958306
YDR144C	31.0	NA	0.6629999999999999	-0.3695581856124021	-0.3070510228336964	NA	NA
YDR145W	48.0	511.5	NA	0.12958231367213702	0.05915221036229713	-0.04694581991457088	0.10256627134364606
YDR146C	NA	26.8	0.6392	NA	NA	-2.60548994817154	-3.7452756657849218
YDR147W	37.0	347.3	0.555	-0.1701847241123691	-0.15935223485378258	-0.8564887482257506	-0.4989436158030627
YDR148C	51.0	530.6	0.5558	0.18931001061841743	0.1102243362467151	0.04892012211951903	0.1612025682355962
YDR149C	NA	NA	1.19	NA	NA	NA	NA
YDR150W	NA	304.8	0.6911	NA	NA	-1.0249023367432546	-0.6946117043689966
YDR151C	NA	NA	0.3253	NA	NA	NA	NA
YDR152W	39.0	685.3	0.5007	-0.10936510116177109	-0.115267621388659	0.9973531437086305	0.5787269396117678
YDR153C	21.0	418.6	0.4882	-0.7936015541273999	-0.6290855526867786	-0.5512725332821213	-0.2128376940064128
YDR154C	NA	NA	0.5333	NA	NA	NA	NA
YDR155C	NA	650.5	0.5277	NA	NA	0.8308408101535949	0.4924870936721492
YDR156W	NA	550.0	0.6514	NA	NA	0.16937121926377763	0.21892450950779713
YDR157W	NA	NA	0.4603	NA	NA	NA	NA
YDR158W	105.0	1037.9	0.5836	0.8995338605921871	0.7223289456735923	1.7440022223883445	1.2880237427541217
YDR159W	35.0	941.2	3.472	-0.2316410556979774	-0.2058209349638933	1.610975177422692	1.117268909052646
YDR160W	NA	NA	NA	NA	NA	NA	NA
YDR161W	107.0	649.4	0.643	0.9146786412719052	0.7383940726079783	0.8273226046081117	0.4896967778054459
YDR162C	NA	633.1	0.4709	NA	NA	0.7176864094019288	0.4478639024522839
YDR163W	NA	154.6	0.6976	NA	NA	-1.5888804302812634	-1.6567953861992428
YDR164C	2.0	637.6	NA	-5.199337582605575	-2.34150278073377	0.7510344428538938	0.4595048837474902
YDR165W	26.0	566.8	0.4931	-0.5672113899131166	-0.45307263358079974	0.27703540101997	0.26750823972908305
YDR166C	28.0	360.5	NA	-0.49213682280838095	-0.3916563966546011	-0.8090666920524731	-0.4423750202522872
YDR167W	NA	591.8	NA	NA	NA	0.44967032728094614	0.33755378805536385
YDR168W	454.0	704.1	NA	1.8499509913233405	1.9744426710211085	1.077089576787481	0.6237549499299178
