,prob,cor,cor_sd,beta,beta_sd,pval_beta,pval_beta_sd,adjp_beta,adjp_beta_sd,ratio,ratio_sd
MMS22,0.1,-0.09567,       NA,-0.032029,       NA,2.804e-06,       NA, 2.761,       NA,0.15289,       NA
TOP3,0.4,-0.10945,1.000e-07,-0.029467,8.347e-08,2.864e-06,3.407e-10, 2.753,1.198e-03,0.07630,8.846e-07
CAF130,0.6,-0.10524,7.528e-07,-0.023350,2.993e-07,3.094e-06,4.823e-10, 2.718,7.045e-04,0.07287,1.300e-06
URC2,0.5,-0.07530,1.342e-07,-0.017462,3.187e-07,3.095e-06,4.271e-10, 2.718,4.129e-04,0.15508,5.681e-06
SRV2,0.4,-0.10095,4.000e-07,-0.057766,7.637e-07,3.471e-06,9.189e-10, 2.669,1.287e-03,0.14114,1.517e-06
SNF2,0.9,-0.02748,5.000e-08,-0.056007,4.031e-08,3.580e-06,3.539e-11, 2.655,9.953e-04,0.09765,8.660e-08
SIR2,0.5,-0.06034,0.000e+00,-0.006683,0.000e+00,3.911e-06,6.309e-11, 2.617,1.357e-03,0.94999,3.240e-07
DHH1,0.3,-0.11016,1.000e-07,-0.037717,4.000e-08,3.923e-06,6.557e-11, 2.615,1.074e-03,0.11490,1.000e-07
RRP8,0.4,-0.08431,0.000e+00,-0.022996,2.500e-08,3.953e-06,4.646e-11, 2.612,9.114e-04,0.08046,9.574e-08
RTT106,0.2,-0.11201,0.000e+00,-0.024536,0.000e+00,3.961e-06,0.000e+00, 2.612,5.020e-04,0.11701,0.000e+00
RAD27,0.5,-0.10048,4.472e-08,-0.031674,1.095e-08,4.219e-06,5.477e-12, 2.584,8.012e-04,0.12110,1.095e-07
IRC25,0.2,-0.09180,0.000e+00,-0.020169,7.071e-09,4.990e-06,1.414e-11, 2.511,4.950e-04,0.16615,7.071e-08
PET112,0.7, 0.11797,3.780e-08, 0.016823,3.780e-09,5.077e-06,1.618e-11, 2.504,9.829e-04,0.09217,3.780e-08
CTI6,1.0, 0.10168,3.951e-02, 0.029319,1.865e-02,5.086e-06,6.566e-06, 6.364,3.666e+00,0.42822,3.992e-01
BIK1,0.4, 0.07820,5.774e-08, 0.015102,1.500e-08,5.215e-06,7.853e-11, 2.492,3.534e-04,0.06366,5.774e-08
ENV11,0.5,-0.06488,6.025e-07,-0.006444,1.095e-08,5.494e-06,9.294e-10, 2.470,8.551e-04,0.79700,7.816e-06
IOC2,0.3,-0.09478,1.212e-06,-0.020995,5.600e-07,7.059e-06,2.509e-09, 2.360,8.965e-04,0.07784,2.078e-06
SAP155,0.5,-0.07525,5.477e-08,-0.028965,1.304e-08,7.171e-06,1.304e-11, 2.353,8.614e-04,0.10937,1.304e-07
BRE1,0.2,-0.09906,2.970e-06,-0.034039,1.824e-06,7.184e-06,4.547e-09, 2.352,2.192e-04,0.12121,9.687e-06
ULS1,0.6,-0.04743,2.449e-07,-0.022559,4.325e-07,8.470e-06,2.397e-09, 2.281,1.180e-03,0.06249,8.343e-07
DOC1,0.4,-0.11333,4.856e-07,-0.034615,1.258e-08,1.017e-05,9.179e-10, 2.201,6.783e-04,0.13324,2.134e-06
HST1,0.7,-0.06024,0.000e+00,-0.006139,0.000e+00,1.058e-05,4.880e-11, 2.184,4.851e-04,0.94324,4.880e-08
MSH2,0.3,-0.05904,1.732e-07,-0.006135,5.774e-09,1.069e-05,3.464e-10, 2.180,3.958e-04,0.92816,1.155e-06
ARX1,0.7,-0.08155,8.997e-08,-0.023868,3.625e-08,1.227e-05,2.563e-10, 2.120,8.945e-04,0.08700,1.000e-07
NFI1,0.4,-0.08267,0.000e+00,-0.018674,5.000e-09,1.232e-05,5.000e-11, 2.119,9.947e-04,0.10946,5.000e-08
LGE1,0.3,-0.09823,2.570e-06,-0.034288,1.637e-06,1.389e-05,8.026e-09, 2.067,5.749e-04,0.08576,4.706e-06
