ID,Transcription responsiveness
YDL155W,1153.8381094877
YDL156W,1413.4845975767
YDL157C,1194.8324696718
YDL158C,972.2120321958
YDL159C-B,
YDL159W,800.2131672679
YDL159W-A,
YDL160C,1747.6852276987
YDL160C-A,
YDL161W,801.2214133397
YDL162C,1383.7111793362
YDL163W,868.3477542576
YDL164C,1241.6903483574
YDL165W,555.7063624009
YDL166C,927.8291838981
YDL167C,1618.0630563908
YDL168W,1099.7072147121
YDL169C,1877.7555537306
YDL170W,1589.1610920763
YDL171C,1456.9806881239
YDL172C,754.402026788
YDL173W,921.3881311708
YDL174C,2256.8727633101
YDL175C,642.7218445388
YDL176W,558.7116950921
YDL177C,717.3942567815
YDL178W,1036.8012358199
YDL179W,1834.7155409706
YDL180W,891.4471033235
YDL181W,2409.4864693606
YDL182W,
YDL183C,942.3852846099
YDL184C,3180.4148495281
YDL185C-A,
YDL185W,896.071017047
YDL186W,1639.2735144161
YDL187C,
YDL188C,
YDL189W,691.5762598033
YDL190C,717.4955645614
YDL191W,
YDL192W,1307.3230922367
YDL193W,1200.8441288867
YDL194W,1271.9205769118
YDL195W,1520.3979733385
YDL196W,
YDL197C,943.0039797824
YDL198C,2804.4280378018
YDL199C,1836.196285043
YDL200C,873.4094437896
YDL201W,1551.164599539
YDL202W,782.7835863494
YDL203C,659.6414492316
YDL204W,6241.1234061725
YDL205C,1699.4985538287
YDL206W,1135.1697847752
YDL207W,1288.1469258016
YDL208W,2293.1133079532
YDL209C,1172.8880035707
YDL210W,1521.9425289496
YDL211C,1364.0255787872
YDL212W,1568.2110936797
YDL213C,1696.9965842032
YDL214C,3691.9598016175
YDL215C,2377.3910667963
YDL216C,1353.0746456816
YDL217C,1060.6250846977
YDL218W,3059.4949300362
YDL219W,1052.8816701703
YDL220C,951.4050030129
YDL221W,
YDL222C,3528.135858371
YDL223C,2780.9635741552
YDL224C,902.0456665166
YDL225W,612.8287482356
YDL226C,873.8419225528
YDL227C,2141.6073359127
YDL228C,795.8964298142
YDL229W,
YDL230W,913.0333117834
YDL231C,594.1492392922
YDL232W,909.9706135115
YDL233W,799.3881657918
YDL234C,3237.2337666654
YDL235C,983.7253458604
YDL236W,843.9920822477
YDL237W,947.0903031769
YDL238C,1384.6774665082
YDL239C,2605.9851994717
YDL240C-A,
YDL240W,1214.243858958
YDL241W,2035.3093972656
YDL242W,904.3596570348
YDL243C,
YDL244W,
YDL245C,
YDL246C,1160.2047766048
YDL247W,1225.0365760967
YDL247W-A,
YDL248W,
YDR001C,2186.7630937789
YDR002W,1398.6405033471
YDR003W,1220.0754941176
YDR003W-A,
YDR004W,635.3911114488
YDR005C,750.0154296264
YDR006C,1164.4093695941
YDR007W,2898.5665960518
YDR008C,1309.2497715186
YDR009W,2476.7330492313
YDR010C,5805.5159598295
YDR011W,2083.6342807932
YDR012W,
YDR013W,767.7851173677
YDR014W,1135.0578369714
YDR014W-A,
YDR015C,2097.6371379702
YDR016C,1039.7752109533
YDR017C,823.5075017948
YDR018C,2260.9512887446
YDR019C,4070.0756216581
YDR020C,942.4479893784
YDR021W,1303.5384806754
YDR022C,867.6540305281
YDR023W,1276.8697750436
YDR024W,948.4044684744
YDR025W,
YDR026C,636.1159968334
YDR027C,715.6131001843
YDR028C,945.0039102421
YDR029W,1223.0017213576
YDR030C,812.2164891033
YDR031W,1734.0445206013
YDR032C,2637.4420876311
